,side_effect_name,stitch_id_flat
437,Bile duct cancer,1
438,Bile duct disorders,2
439,Bile duct neoplasms malignant,1
440,Bile duct stenosis,2
441,Biliary colic,28
442,Biliary fibrosis,2
443,Biliary tract disorder,2
444,Bilirubin conjugated increased,5
445,Binge eating,8
446,Bipolar I disorder,15
447,Bipolar disorder,14
448,Bladder and urethral symptoms,4
449,Bladder cancer,20
450,Bladder dilatation,2
451,Bladder discomfort,3
452,Bladder disorder,3
453,Bladder diverticulum,1
454,Bladder dysfunction,9
455,Bladder fibrosis,2
456,Bladder irritation,3
457,Bladder neck obstruction,4
458,Bladder necrosis,1
459,Bladder neoplasm,4
460,Bladder pain,183
461,Bladder spasm,15
462,Bladder stenosis,3
463,Blast cell crisis,2
464,Blastomycosis,1
465,Bleeding time prolonged,28
466,Blepharal pigmentation,2
467,Blepharitis,82
468,Blepharitis allergic,2
469,Blepharospasm,23
470,Blighted ovum,2
471,Blindness,85
472,Blindness cortical,14
473,Blindness day,1
474,Blindness transient,15
475,Blindness unilateral,4
476,Blister,103
477,Blood acid phosphatase increased,1
478,Blood albumin decreased,30
479,Blood albumin increased,3
480,Blood alkaline phosphatase increased,234
481,Blood and lymphatic system disorders,360
482,Blood antidiuretic hormone abnormal,2
483,Blood bicarbonate,1
484,Blood bicarbonate decreased,8
485,Blood bicarbonate increased,4
486,Blood bilirubin abnormal,5
487,Blood bilirubin decreased,6
488,Blood bilirubin increased,161
489,Blood bilirubin normal,1
490,Blood bilirubin unconjugated increased,2
491,Blood calcium abnormal,2
492,Blood calcium decreased,25
493,Blood chloride decreased,5
494,Blood chloride increased,3
495,Blood cholesterol abnormal,2
496,Blood cholesterol decreased,1
497,Blood cholesterol increased,50
498,Blood copper decreased,1
499,Blood cortisol decreased,6
500,Blood cortisol increased,1
501,Blood count abnormal,1
502,Blood creatine increased,4
503,Blood creatine phosphokinase MB increased,2
504,Blood creatine phosphokinase MM increased,1
505,Blood creatine phosphokinase abnormal,1
506,Blood creatine phosphokinase increased,113
507,Blood creatinine abnormal,9
508,Blood creatinine decreased,23
509,Blood creatinine increased,344
510,Blood creatinine normal,1
511,Blood culture positive,4
512,Blood disorder,126
513,Blood electrolytes abnormal,9
514,Blood electrolytes decreased,1
515,Blood fibrinogen decreased,1
516,Blood fibrinogen increased,1
517,Blood follicle stimulating hormone increased,1
518,Blood gases abnormal,2
519,Blood gastrin increased,3
520,Blood glucose abnormal,3
521,Blood glucose decreased,24
522,Blood glucose fluctuation,2
523,Blood glucose increased,74
524,Blood gonadotrophin decreased,1
525,Blood gonadotrophin increased,1
526,Blood growth hormone increased,1
527,Blood immunoglobulin G decreased,1
528,Blood insulin decreased,1
529,Blood insulin increased,9
530,Blood iron abnormal,1
531,Blood iron decreased,6
532,Blood iron increased,5
533,Blood lactate dehydrogenase increased,101
534,Blood luteinising hormone increased,2
535,Blood magnesium decreased,7
536,Blood magnesium increased,1
537,Blood methaemoglobin present,1
538,Blood oestrogen decreased,3
539,Blood oestrogen increased,1
540,Blood osmolarity decreased,2
541,Blood osmolarity increased,3
542,Blood pH decreased,2
543,Blood parathyroid hormone increased,3
544,Blood phosphorus decreased,15
545,Blood phosphorus increased,7
546,Blood potassium abnormal,3
547,Blood potassium decreased,51
548,Blood potassium increased,39
549,Blood pressure abnormal,2
550,Blood pressure diastolic decreased,9
551,Blood pressure diastolic increased,3
552,Blood pressure fluctuation,21
553,Blood pressure inadequately controlled,1
554,Blood pressure increased,158
555,Blood pressure normal,2
556,Blood pressure systolic decreased,9
557,Blood pressure systolic increased,11
558,Blood prolactin decreased,2
559,Blood prolactin increased,26
560,Blood sodium abnormal,1
561,Blood sodium increased,13
562,Blood test abnormal,1
563,Blood testosterone decreased,16
564,Blood testosterone free increased,1
565,Blood testosterone increased,8
566,Blood thromboplastin decreased,5
567,Blood thyroid stimulating hormone decreased,2
568,Blood thyroid stimulating hormone increased,18
569,Blood triglycerides decreased,1
570,Blood triglycerides increased,123
571,Blood urea abnormal,2
572,Blood urea decreased,1
573,Blood urea increased,196
574,Blood urea normal,1
575,Blood uric acid abnormal,1
576,Blood uric acid decreased,2
577,Blood uric acid increased,174
578,Blood urine,15
579,Blood urine present,26
580,Blood zinc decreased,1
581,Bloody discharge,1
582,Blue toe syndrome,1
583,Blunted affect,5
584,Body fat disorder,1
585,Body height decreased,1
586,Body mass index decreased,1
587,Body temperature altered,1
588,Body temperature decreased,68
589,Body temperature fluctuation,1
590,Body temperature increased,892
591,Body tinea,1
592,Bone and joint infections,1
593,Bone cancer metastatic,5
594,Bone density decreased,8
595,Bone development abnormal,1
596,Bone disorder,132
597,Bone lesion,1
598,Bone marrow disorder,2
599,Bone marrow granuloma,1
600,Bone marrow toxicity,5
601,Bone metabolism disorder,2
602,Bone neoplasm,4
603,Bone pain,164
604,Bone sarcoma,1
605,Bovine tuberculosis,1
606,Bowen's disease,2
607,Brachial plexus injury,1
608,Bradyarrhythmia,3
609,Bradycardia,390
610,Bradycardia foetal,1
611,Bradykinesia,18
612,Bradyphrenia,13
613,Brain abscess,2
614,Brain cancer metastatic,5
615,Brain herniation,1
616,Brain hypoxia,3
617,Brain injury,14
618,Brain neoplasm,7
619,Brain neoplasm benign,2
620,Brain oedema,36
621,Brain stem glioma,1
622,Brain stem haemorrhage,2
623,Brain stem syndrome,1
624,Breakthrough pain,3
625,Breast abscess,4
626,Breast atrophy,5
627,Breast calcifications,2
628,Breast cancer,58
629,Breast cancer female,2
630,Breast cancer male,3
631,Breast cancer stage IV,3
632,Breast cyst,3
633,Breast discharge,26
634,Breast discomfort,16
635,Breast disorder,270
636,Breast disorder female,2
637,Breast engorgement,19
638,Breast enlargement,97
639,Breast feeding,37
640,Breast fibroma,1
641,Breast fibrosis,1
642,Breast induration,4
643,Breast malformation,1
644,Breast mass,10
645,Breast neoplasm,29
646,Breast oedema,2
647,Breast pain,146
648,Breast swelling,10
649,Breast tenderness,47
650,Breath holding,6
651,Breath odour,43
652,Breath sounds abnormal,28
653,Breech presentation,1
654,Bronchial disorder,1
655,Bronchial haemorrhage,1
656,Bronchial hyperreactivity,25
657,Bronchial obstruction,3
658,Bronchial secretion retention,1
659,Bronchial ulceration,1
660,Bronchiectasis,3
661,Bronchiolitis,4
662,Bronchioloalveolar carcinoma,1
663,Bronchitis,327
664,Bronchitis bacterial,1
665,Bronchitis viral,2
666,Bronchopneumonia,15
667,Bronchopneumopathy,2
668,Bronchopulmonary aspergillosis,2
669,Bronchopulmonary dysplasia,1
670,Bronchospasm,321
671,Bronchospasm paradoxical,17
672,Bronchostenosis,1
673,Brown tumour,1
674,Brugada syndrome,1
675,Bruxism,28
676,Buccal mucosal roughening,1
677,Buccoglossal syndrome,6
678,Budd-Chiari syndrome,2
679,Bulimia nervosa,3
680,Bullous conditions,5
681,Bullous impetigo,2
682,Bundle branch block,67
683,Bundle branch block left,10
684,Bundle branch block right,10
685,Burkitt's lymphoma,4
686,Burning mouth syndrome,3
687,Burning sensation,106
688,Burns second degree,2
689,Bursitis,64
690,C-reactive protein increased,7
691,CD4 lymphocytes decreased,1
692,Cachexia,29
693,Caecitis,10
694,Calcification metastatic,1
695,Calcinosis,13
696,Calciphylaxis,1
697,Calcium deficiency,1
698,Calcium intoxication,1
699,Calcium metabolism disorder,1
700,Calculus bladder,5
701,Calculus ureteric,3
702,Calculus urinary,9
703,Cancer pain,8
704,Candida cervicitis,1
705,Candida infection,249
706,Candida sepsis,1
707,Candiduria,5
708,Capillary fragility,2
709,Capillary fragility increased,4
710,Capillary leak syndrome,8
711,Carbohydrate tolerance decreased,19
712,Carbon dioxide decreased,3
713,Carbon dioxide increased,12
714,Carbuncle,2
715,Carcinogenicity,4
716,Carcinoid tumour,1
717,Carcinoma in situ,1
718,Cardiac amyloidosis,1
719,Cardiac arrest,254
720,Cardiac death,6
721,Cardiac discomfort,1
722,Cardiac disorder,436
723,Cardiac enzymes increased,1
724,Cardiac failure,232
725,Cardiac failure acute,5
726,Cardiac failure congestive,217
727,Cardiac failure high output,1
728,Cardiac fibrillation,29
729,Cardiac flutter,16
730,Cardiac hypertrophy,4
731,Cardiac murmur,40
732,Cardiac output decreased,16
733,Cardiac output increased,1
734,Cardiac septal defect,1
735,Cardiac tamponade,14
736,Cardiac valve disease,20
737,Cardiac valve replacement complication,1
738,Cardio-respiratory arrest,47
739,Cardio-respiratory distress,1
740,Cardioactive drug level above therapeutic,1
741,Cardioactive drug level increased,1
742,Cardiogenic shock,23
743,Cardiomegaly,44
744,Cardiomyopathy,69
745,Cardiopulmonary failure,5
746,Cardiotoxicity,26
747,Cardiovascular disorder,128
748,Cardiovascular insufficiency,13
749,Carditis,1
750,Carotene decreased,1
751,Carotid artery occlusion,4
752,Carotid artery stenosis,1
753,Carotid artery thrombosis,1
754,Carotid bruit,2
755,Carotid pulse,1
756,Carotid sinus syndrome,1
757,Carpal tunnel syndrome,26
758,Cataplexy,4
759,Cataract,157
760,Cataract conditions,1
761,Cataract cortical,1
762,Cataract diabetic,1
763,Cataract nuclear,1
764,Cataract subcapsular,43
765,Cataract traumatic,2
766,Catatonia,33
767,Catheter site cellulitis,1
768,Catheter site erythema,4
769,Catheter site haemorrhage,7
770,Catheter site infection,4
771,Catheter site inflammation,1
772,Catheter site pain,7
773,Catheter site phlebitis,2
774,Catheter site related reaction,1
775,Cauda equina syndrome,8
776,Cellulitis,143
777,Cellulitis gangrenous,5
778,Cellulitis staphylococcal,1
779,Central nervous system haemorrhage,1
780,Central nervous system infection,2
781,Central nervous system neoplasm,9
782,Central nervous system stimulation,5
783,Central obesity,2
784,Cerebellar ataxia,4
785,Cerebellar atrophy,1
786,Cerebellar infarction,2
787,Cerebellar syndrome,19
788,Cerebral arteriosclerosis,2
789,Cerebral arteritis,5
790,Cerebral artery embolism,5
791,Cerebral artery stenosis,1
792,Cerebral atrophy,2
793,Cerebral haematoma,2
794,Cerebral haemorrhage,80
795,Cerebral hypoperfusion,1
796,Cerebral infarction,42
797,Cerebral ischaemia,61
798,Cerebral thrombosis,10
799,Cerebral vasoconstriction,3
800,Cerebral venous thrombosis,2
801,Cerebrospinal fluid leakage,2
802,Cerebrovascular accident,236
803,Cerebrovascular disorder,51
804,Cerebrovascular insufficiency,3
805,Cerumen impaction,5
806,Cervical discharge,2
807,Cervical dysplasia,9
808,Cervical incompetence,1
809,Cervical polyp,3
810,Cervical vertebral fracture,1
811,Cervicitis,7
812,Cervicobrachial syndrome,3
813,Cervix carcinoma,5
814,Cervix carcinoma stage 0,3
815,Cervix disorder,12
816,Cervix haemorrhage uterine,1
817,Cervix neoplasm,1
818,Chalazion,4
819,Change of bowel habit,10
820,Chapped lips,7
821,Cheilitis,52
822,Cheilosis,6
823,Chemical cystitis,5
824,Chemical eye injury,1
825,Chemical injury,2
826,Chemical peritonitis,2
827,Chest X-ray abnormal,2
828,Chest X-ray normal,1
829,Chest discomfort,162
830,Chest pain,695
831,Cheyne-Stokes respiration,4
832,Chills,567
833,Chlamydial infection,1
834,Chloasma,24
835,Chloropsia,1
836,Choking,17
837,Choking sensation,6
838,Cholangiocarcinoma,2
839,Cholangitis,18
840,Cholangitis sclerosing,3
841,Cholecystitis,79
842,Cholecystitis acute,5
843,Cholecystitis and cholelithiasis,2
844,Cholecystitis chronic,2
845,Cholecystitis infective,1
846,Cholelithiasis,93
847,Cholestasis,119
848,Cholestatic liver injury,2
849,Cholinergic syndrome,8
850,Choluria,1
851,Chondrocalcinosis,1
852,Chondrodystrophy,3
853,Chondrolysis,1
854,Chondropathy,2
855,Chorea,25
856,Choreoathetosis,29
857,Choriocarcinoma,1
858,Chorioretinitis,2
859,Chorioretinopathy,6
860,Choroidal detachment,4
861,Choroidal effusion,1
862,Choroiditis,2
863,Chromatopsia,11
864,Chromaturia,41
865,Chromosomal mutation,1
866,Chronic allograft nephropathy,1
867,Chronic eosinophilic leukaemia,1
868,Chronic fatigue syndrome,1
869,Chronic graft versus host disease,2
870,Chronic hepatic failure,1
871,Chronic hepatitis,4
872,Chronic hepatitis B,4
873,Chronic leukaemia,1
874,Chronic lymphocytic leukaemia,4
875,Chronic myeloid leukaemia,7
876,Chronic myelomonocytic leukaemia,1
877,Chronic obstructive pulmonary disease,31
878,Chronic sinusitis,2
879,Chrysiasis,1
880,Chylothorax,1
881,Ciliary muscle spasm,2
882,Cinchonism,3
883,Circadian rhythm sleep disorder,2
884,Circumoral oedema,3
885,Cirrhosis alcoholic,2
886,Citrate toxicity,1
887,Claustrophobia,2
888,Clavicle fracture,1
889,Cleft lip,3
890,Cleft palate,6
891,Clitoral engorgement,1
892,Cloacal exstrophy,1
893,Clonic convulsion,10
894,Clonus,11
895,Clostridial infection,4
896,Clostridium colitis,3
897,Clostridium difficile colitis,22
898,Clubbing,1
899,Clumsiness,4
900,Cluster headache,1
901,Coagulation factor decreased,1
902,Coagulation test abnormal,2
903,Coagulation time prolonged,10
904,Coagulopathy,122
905,Coarctation of the aorta,1
906,Coccydynia,2
907,Cognitive disorder,65
908,Cogwheel rigidity,20
909,Coital bleeding,1
910,Cold sweat,61
911,Colitis,159
912,Colitis ischaemic,35
913,Colitis microscopic,5
914,Colitis ulcerative,28
915,Collagen disorder,6
916,Collagen-vascular disease,1
917,Colon cancer,4
918,Colonic abscess,2
919,Colonic pseudo-obstruction,3
920,Colorectal cancer,2
921,Colorectal cancer metastatic,2
922,Colour blindness,9
923,Colour blindness acquired,5
924,Colpocele,1
925,Coma,180
926,Coma hepatic,10
927,Community acquired infection,1
928,Compartment syndrome,9
929,Completed suicide,79
930,Complex partial seizures,1
931,Complex regional pain syndrome,5
932,Complication of delivery,1
933,Complication of device insertion,1
934,Complication of pregnancy,2
935,Complications of transplant surgery,1
936,Compression fracture,2
937,Compulsions,7
938,Compulsive sexual behaviour,1
939,Compulsive shopping,2
940,Concussion,4
941,Condition aggravated,20
942,Conduction disorder,23
943,Confusion postoperative,1
944,Confusional state,575
945,Congenital absence of bile ducts,1
946,Congenital anomaly,45
947,Congenital arterial malformation,4
948,Congenital central nervous system anomaly,4
949,Congenital cystic kidney disease,3
950,Congenital diaphragmatic hernia,1
951,Congenital eye disorder,22
952,Congenital foot malformation,2
953,Congenital generalised lipodystrophy,1
954,Congenital genital malformation,2
955,Congenital genitourinary abnormality,7
956,Congenital hydronephrosis,1
957,Congenital hypothyroidism,1
958,Congenital joint malformation,1
959,Congenital limb hyperextension,1
960,Congenital megacolon,1
961,Congenital musculoskeletal anomaly,2
962,Congenital oral malformation,1
963,Congenital renal cyst,1
964,Congenital skin disorder,4
965,Congenital vesicoureteric reflux,1
966,Congestive cardiomyopathy,8
967,Conjoined twins,1
968,Conjunctival bleb,1
969,Conjunctival cyst,1
970,Conjunctival disorder,7
971,Conjunctival follicles,6
972,Conjunctival haemorrhage,38
973,Conjunctival hyperaemia,58
974,Conjunctival irritation,5
975,Conjunctival oedema,39
976,Conjunctival ulcer,1
977,Conjunctivitis,368
978,Conjunctivitis allergic,15
979,Conjunctivitis bacterial,1
980,Conjunctivitis infective,2
981,Connective tissue disorder,420
982,Connective tissue inflammation,1
983,Constipation,771
984,Contact lens intolerance,7
985,Contracted bladder,1
986,Contrast media reaction,3
987,Contusion,145
988,Conversion disorder,23
989,Convulsion,573
990,Convulsion neonatal,1
991,Coombs direct test positive,2
992,Coombs positive haemolytic anaemia,1
993,Coombs test positive,8
994,Coordination abnormal,145
995,Copper deficiency,1
996,Cor pulmonale,5
997,Corneal abrasion,6
998,Corneal decompensation,1
999,Corneal defect,1
1000,Corneal degeneration,2
1001,Corneal deposits,21
1002,Corneal disorder,14
1003,Corneal dystrophy,1
1004,Corneal epithelium defect,8
1005,Corneal erosion,24
1006,Corneal infiltrates,8
1007,Corneal irritation,2
1008,Corneal lesion,12
1009,Corneal oedema,29
1010,Corneal opacity,28
1011,Corneal perforation,8
1012,Corneal pigmentation,3
1013,Corneal scar,2
1014,Corneal thinning,13
1015,Coronary artery disease,52
1016,Coronary artery insufficiency,7
1017,Coronary artery occlusion,10
1018,Coronary artery stenosis,1
